id,title,description,keywords,topics,platforms,event,collection,duration,video_url,thumbnail_url,transcript_path
263,Get ready for the Swift Student Challenge,"submissions for the swift student challenge will be open february 6-28. get ready with this online session, where you'll explore app development resources with an apple expert, get inspiration from previous winners, and spark ideas for building your own app playground. this session is conducted in english and intended for students and educators.",,Business & Education|Essentials|Swift|SwiftUI & UI Frameworks,ios|ipados|macos|tvos|visionos|watchos,Meet with Apple,meet-with-apple,47:59,https://developer.apple.com/videos/play/meet-with-apple/263/,https://devimages-cdn.apple.com/wwdc-services/images/BC742FC2-04CD-4DDA-9F29-C074010922E7/10697/10697_wide_250x141_2x.jpg,transcipts/meet-with-apple-263.txt
237,Code-along: Start building with Swift and SwiftUI,"learn the basics of app development with swift and swiftui. in this online code-along, you'll build a simple view from an ios demo app in xcode, add text fields and photos to capture input, and save information using swiftdata. by the end of the session, you'll have a complete, interactive interface. to code along, you'll need a mac running macos sonoma 14.0 or later and xcode 15 or later. conducted in english.",,Essentials|Swift|SwiftUI & UI Frameworks,ios|ipados|macos|tvos|visionos|watchos,Meet with Apple,meet-with-apple,96:09,https://developer.apple.com/videos/play/meet-with-apple/237/,https://devimages-cdn.apple.com/wwdc-services/images/BC742FC2-04CD-4DDA-9F29-C074010922E7/10659/10659_wide_250x141_2x.jpg,transcipts/meet-with-apple-237.txt
206,Secure your app with Memory Integrity Enforcement,"discover memory integrity enforcement (mie), a new security technology where hardware, the operating system, and the compiler work together to prevent access to invalid memory, safely aborting program execution before vulnerabilities can be exploited. find out how mie makes it far more difficult for attackers to take advantage of memory corruption bugs. learn how to adopt mie in your app to protect people and their data, while also rooting out hard-to-find memory issues in your code base.","corruption,dangling pointer,memory,memory tagging extension,mie,mte,security,tagging,useafterfree",Developer Tools|Swift|Privacy & Security,ios|ipados|macos|tvos|visionos|watchos,Meet with Apple,meet-with-apple,12:21,https://developer.apple.com/videos/play/meet-with-apple/206/,https://devimages-cdn.apple.com/wwdc-services/images/BC742FC2-04CD-4DDA-9F29-C074010922E7/10599/10599_wide_250x141_2x.jpg,transcipts/meet-with-apple-206.txt
205,Code along with the Foundation Models framework,"get hands-on experience using the foundation models framework to access apple's on-device llm. in this online session, you can code along with us as we build generative ai features into a sample app live in xcode. we'll guide you through implementing core features like basic text generation, as well as advanced topics like guided generation for structured data output, streaming responses for dynamic ui updates, and tool calling to retrieve data or take an action. 
 
to actively code along, you'll need a mac with apple silicon that supports apple intelligence running the latest release of macos tahoe 26 and xcode 26.",,Swift|Machine Learning & AI,ios|macos,Meet with Apple,meet-with-apple,103:37,https://developer.apple.com/videos/play/meet-with-apple/205/,https://devimages-cdn.apple.com/wwdc-services/images/BC742FC2-04CD-4DDA-9F29-C074010922E7/10607/10607_wide_250x141_2x.jpg,transcipts/meet-with-apple-205.txt
306,Optimize SwiftUI performance with Instruments,"discover the new swiftui instrument. we'll cover how swiftui updates views, how changes in your app's data affect those updates, and how the new instrument helps you visualize those causes and effects.  
 
to get the most out of this session, we recommend being familiar with writing apps in swiftui.",,Swift|SwiftUI & UI Frameworks|Developer Tools,ios|ipados|macos|tvos|visionos|watchos,WWDC25,wwdc2025,35:36,https://developer.apple.com/videos/play/wwdc2025/306/,https://devimages-cdn.apple.com/wwdc-services/images/3055294D-836B-4513-B7B0-0BC5666246B0/10024/10024_wide_250x141_2x.jpg,transcipts/wwdc2025-306.txt
311,"Safely mix C, C++, and Swift","learn how to mix c, c++, and swift while improving the safety of your apps. we'll show you how to find where unsafe c and c++ apis are called in your swift code, how to call them more safely, and how to make your app's existing c and c++ code safer by default.",,Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC25,wwdc2025,32:11,https://developer.apple.com/videos/play/wwdc2025/311/,https://devimages-cdn.apple.com/wwdc-services/images/3055294D-836B-4513-B7B0-0BC5666246B0/10033/10033_wide_250x141_2x.jpg,transcipts/wwdc2025-311.txt
312,Improve memory usage and performance with Swift,discover ways to improve the performance and memory management of your swift code. we'll explore ways to refine your code – from making high-level algorithmic changes to adopting the new inlinearray and span types for finer control over memory and allocations.,,Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC25,wwdc2025,31:31,https://developer.apple.com/videos/play/wwdc2025/312/,https://devimages-cdn.apple.com/wwdc-services/images/3055294D-836B-4513-B7B0-0BC5666246B0/10034/10034_wide_250x141_2x.jpg,transcipts/wwdc2025-312.txt
280,Code-along: Cook up a rich text experience in SwiftUI with AttributedString,"learn how to build a rich text experience with swiftui's texteditor api and attributedstring. discover how you can enable rich text editing, build custom controls that manipulate the contents of your editor, and customize the formatting options available. explore advanced capabilities of attributedstring that help you craft the best text editing experiences.",,Swift|SwiftUI & UI Frameworks,ios|ipados|macos|visionos,WWDC25,wwdc2025,35:10,https://developer.apple.com/videos/play/wwdc2025/280/,https://devimages-cdn.apple.com/wwdc-services/images/3055294D-836B-4513-B7B0-0BC5666246B0/9982/9982_wide_250x141_2x.jpg,transcipts/wwdc2025-280.txt
344,"Record, replay, and review: UI automation with Xcode","learn to record, run, and maintain xcuiautomation tests in xcode. replay your xctest ui tests in dozens of locales, device types, and system conditions using test plan configurations. review your test results using the xcode test report, and download screenshots and videos of your runs. we'll also cover best practices for preparing your app for automation with accessibility and writing stable, high-quality automation code.",,Swift|Developer Tools,ios|ipados|macos|tvos|visionos|watchos,WWDC25,wwdc2025,24:41,https://developer.apple.com/videos/play/wwdc2025/344/,https://devimages-cdn.apple.com/wwdc-services/images/3055294D-836B-4513-B7B0-0BC5666246B0/10029/10029_wide_250x141_2x.jpg,transcipts/wwdc2025-344.txt
268,Embracing Swift concurrency,"join us to learn the core swift concurrency concepts. concurrency helps you improve app responsiveness and performance, and swift is designed to make asynchronous and concurrent code easier to write correctly. we'll cover the steps you need to take an app through from single-threaded to concurrent. we'll also help you determine how and when to make the best use of swift concurrency features – whether it's making your code more asynchronous, moving it to the background, or sharing data across concurrent tasks.",,Swift,ios|ipados|macos|tvos|visionos|watchos,WWDC25,wwdc2025,28:01,https://developer.apple.com/videos/play/wwdc2025/268/,https://devimages-cdn.apple.com/wwdc-services/images/3055294D-836B-4513-B7B0-0BC5666246B0/9948/9948_wide_250x141_2x.jpg,transcipts/wwdc2025-268.txt
