id,topic,title,description,language,tags,source_available,source_code_path
"performing-calculations-on-a-gpu","Compute workflows","Performing calculations on a GPU","Use Metal to find GPUs and perform calculations on them.","","compute-workflows,compute,gpu","false",""
"selecting-device-objects-for-compute-processing","Compute workflows","Selecting device objects for compute processing","Switch dynamically between multiple GPUs to efficiently execute a compute-intensive simulation.","","compute-workflows,compute,gpu,multi-gpu","false",""
"customizing-a-tensorflow-operation","Compute workflows","Customizing a TensorFlow operation","Implement a custom operation that uses Metal kernels to accelerate neural-network training performance.","","compute-workflows,compute,machine-learning,tensorflow,metal-kernels","false",""
"customizing-a-pytorch-operation","Compute workflows","Customizing a PyTorch operation","Implement a custom operation in PyTorch that uses Metal kernels to improve performance.","","compute-workflows,compute,machine-learning,pytorch,metal-kernels","false",""
"running-a-machine-learning-model-on-the-gpu-timeline","Machine learning workflows","Running a machine learning model on the GPU timeline","Dispatch model inference commands with a machine learning pass in a Metal 4 command buffer.","","machine-learning-workflows,machine-learning,inference,gpu,metal-4,command-buffer","false",""
"running-inline-ml-operations-in-a-shader-with-metal-4","Machine learning workflows","Running inline ML operations in a shader with Metal 4","Multiply matrices across multiple GPU cores with inline tensor operations.","","machine-learning-workflows,machine-learning,shaders,tensor,gpu,metal-4","false",""
"using-metal-to-draw-a-views-contents","Render workflows","Using Metal to draw a view’s contents","Create a MetalKit view and a render pass to draw the view’s contents.","","render-workflows,rendering,metalkit,render-pass,getting-started","false",""
"drawing-a-triangle-with-metal-4","Render workflows","Drawing a triangle with Metal 4","Render a colorful, rotating 2D triangle by running draw commands with a render pipeline on a GPU.","","render-workflows,rendering,render-pipeline,gpu,metal-4,getting-started","false",""
"selecting-device-objects-for-graphics-rendering","Render workflows","Selecting device objects for graphics rendering","Switch dynamically between multiple GPUs to efficiently render to a display.","","render-workflows,rendering,gpu,multi-gpu","false",""
"customizing-render-pass-setup","Render workflows","Customizing render pass setup","Render into an offscreen texture by creating a custom render pass.","","render-workflows,rendering,render-pass,offscreen-rendering,textures","false",""
"creating-a-custom-metal-view","Render workflows","Creating a custom Metal view","Implement a lightweight view for Metal rendering that’s customized to your app’s needs.","","render-workflows,rendering,custom-view","false",""
"calculating-primitive-visibility-using-depth-testing","Render workflows","Calculating primitive visibility using depth testing","Determine which pixels are visible in a scene by using a depth texture.","","render-workflows,rendering,depth-testing,textures,visibility","false",""
"encoding-indirect-command-buffers-on-the-cpu","Render workflows","Encoding indirect command buffers on the CPU","Reduce CPU overhead and simplify your command execution by reusing commands.","","render-workflows,indirect-command-buffers,cpu-overhead,command-encoding","false",""
"implementing-order-independent-transparency-with-image-blocks","Render workflows","Implementing order-independent transparency with image blocks","Draw overlapping, transparent surfaces in any order by using tile shaders and image blocks.","","render-workflows,rendering,order-independent-transparency,transparency,tile-shaders,image-blocks","false",""
"loading-textures-and-models-using-metal-fast-resource-loading","Render workflows","Loading textures and models using Metal fast resource loading","Stream texture and buffer data directly from disk into Metal resources using fast resource loading.","","render-workflows,textures,fast-resource-loading,resource-loading,streaming","false",""
"adjusting-the-level-of-detail-using-metal-mesh-shaders","Render workflows","Adjusting the level of detail using Metal mesh shaders","Choose and render meshes with several levels of detail using object and mesh shaders.","","render-workflows,rendering,mesh-shaders,object-shaders,level-of-detail,shaders","false",""
"creating-a-3d-application-with-hydra-rendering","Render workflows","Creating a 3D application with hydra rendering","Build a 3D application that integrates with Hydra and USD.","","render-workflows,rendering,hydra,usd,3d","false",""
"culling-occluded-geometry-using-the-visibility-result-buffer","Render workflows","Culling occluded geometry using the visibility result buffer","Draw a scene without rendering hidden geometry by checking whether each object in the scene is visible.","","render-workflows,rendering,culling,occlusion,visibility","false",""
"improving-edge-rendering-quality-with-multisample-antialiasing-msaa","Render workflows","Improving edge-rendering quality with multisample antialiasing (MSAA)","Apply MSAA to enhance the rendering of edges with custom resolve options and immediate and tile-based resolve paths.","","render-workflows,rendering,msaa,antialiasing,tile-based","false",""
"achieving-smooth-frame-rates-with-a-metal-display-link","Render workflows","Achieving smooth frame rates with a Metal display link","Pace rendering with minimal input latency while providing essential information to the operating system for power-efficient rendering, thermal mitigation, and the scheduling of sustainable workloads.","","render-workflows,rendering,display-link,frame-pacing,performance","false",""
"combining-blit-and-compute-operations-in-a-single-pass","Textures","Combining blit and compute operations in a single pass","Run concurrent blit commands and then a compute dispatch in a single pass with a unified compute encoder.","","textures,blit,compute,gpu,command-encoding","false",""
"reading-pixel-data-from-a-drawable-texture","Textures","Reading pixel data from a drawable texture","Access texture data from the CPU by copying it to a buffer.","","textures,pixel-data,drawable,buffers","false",""
"creating-and-sampling-textures","Textures","Creating and sampling textures","Load image data into a texture and apply it to a quadrangle.","","textures,sampling,getting-started","false",""
"streaming-large-images-with-metal-sparse-textures","Textures","Streaming large images with Metal sparse textures","Limit texture memory usage for large textures by loading or unloading image detail on the basis of MIP and tile region.","","textures,sparse-textures,memory-management,mipmaps,streaming","false",""
"managing-groups-of-resources-with-argument-buffers","Argument buffers","Managing groups of resources with argument buffers","Create argument buffers to organize related resources.","","argument-buffers,resource-management","false",""
"using-argument-buffers-with-resource-heaps","Argument buffers","Using argument buffers with resource heaps","Reduce CPU overhead by using arrays inside argument buffers and combining them with resource heaps.","","argument-buffers,heaps,cpu-overhead,resource-management","false",""
"encoding-argument-buffers-on-the-gpu","Argument buffers","Encoding argument buffers on the GPU","Use a compute pass to encode an argument buffer and access its arguments in a subsequent render pass.","","argument-buffers,gpu,compute,rendering,command-encoding","false",""
"rendering-terrain-dynamically-with-argument-buffers","Argument buffers","Rendering terrain dynamically with argument buffers","Use argument buffers to render terrain in real time with a GPU-driven pipeline.","","argument-buffers,rendering,terrain,gpu-driven,gpu","false",""
"creating-a-metal-dynamic-library","Shaders","Creating a Metal dynamic library","Compile a library of shaders and write it to a file as a dynamically linked library.","","shaders,dynamic-library,compilation","false",""
"using-function-specialization-to-build-pipeline-variants","Shaders","Using function specialization to build pipeline variants","Create pipelines for different levels of detail from a common shader source.","","shaders,function-specialization,pipelines,level-of-detail","false",""
"synchronizing-cpu-and-gpu-work","Synchronization","Synchronizing CPU and GPU work","Avoid stalls between CPU and GPU work by using multiple instances of a resource.","","synchronization,cpu,gpu,triple-buffering","false",""
"implementing-a-multistage-image-filter-using-heaps-and-events","Synchronization","Implementing a multistage image filter using heaps and events","Use events to synchronize access to resources allocated on a heap.","","synchronization,heaps,events,image-filter","false",""
"implementing-a-multistage-image-filter-using-heaps-and-fences","Synchronization","Implementing a multistage image filter using heaps and fences","Use fences to synchronize access to resources allocated on a heap.","","synchronization,heaps,fences,image-filter","false",""
